R;N;ln(N)/ln(R)
606;1132101809;3,25
607;1137719595;3,25
608;1143346553;3,25
609;1148997109;3,25
610;1154662913;3,25
611;1160347357;3,25
612;1166050035;3,25
613;1171777435;3,25
614;1177516407;3,25
615;1183279563;3,25
616;1189056121;3,25
617;1194852925;3,25
618;1200671739;3,25
619;1206512167;3,25
620;1212360845;3,25
621;1218234689;3,25
622;1224128527;3,25
623;1230039173;3,25
624;1235969951;3,25
625;1241919515;3,25
626;1247887667;3,25
627;1253876333;3,25
628;1259883539;3,25
629;1265907363;3,25
630;1271955301;3,25
631;1278018875;3,25
632;1284099787;3,25
633;1290203515;3,25
634;1296326991;3,25
635;1302463327;3,25
636;1308625559;3,25
637;1314811229;3,25
638;1321009295;3,25
639;1327228573;3,25
640;1333465449;3,25
641;1339725701;3,25
642;1345998551;3,25
643;1352300241;3,25
644;1358613913;3,25
645;1364952097;3,25
646;1371305507;3,25
647;1377680663;3,25
648;1384076863;3,25
649;1390493891;3,25
650;1396932321;3,25
651;1403388511;3,25
652;1409858029;3,25
653;1416356909;3,25
654;1422868157;3,25
655;1429404023;3,25
656;1435957825;3,25
657;1442533479;3,25
658;1449128007;3,25
659;1455740659;3,25
660;1462374117;3,25
661;1469029123;3,25
662;1475706605;3,25
663;1482400701;3,25
664;1489117627;3,25
665;1495854805;3,25
666;1502606129;3,25
667;1509386759;3,25
668;1516181175;3,25
669;1522995691;3,25
670;1529835919;3,25
671;1536689349;3,25
672;1543568395;3,25
673;1550471629;3,25
674;1557391007;3,25
675;1564330663;3,25
676;1571288557;3,25
677;1578270607;3,25
678;1585271999;3,25
679;1592294957;3,25
680;1599338113;3,25
681;1606402579;3,25
682;1613483769;3,25
683;1620592129;3,25
684;1627712073;3,25
685;1634864125;3,25
686;1642033157;3,25
687;1649223127;3,25
688;1656429865;3,25
689;1663663329;3,25
690;1670912561;3,25
691;1678189777;3,25
692;1685482581;3,25
693;1692796981;3,25
694;1700137519;3,25
695;1707493179;3,25
696;1714863389;3,25
697;1722267025;3,25
698;1729688431;3,25
699;1737132111;3,25
700;1744594781;3,25
701;1752080127;3,25
702;1759585811;3,25
703;1767109753;3,25
704;1774659351;3,25
705;1782232965;3,25
706;1789827827;3,25
707;1797439405;3,25
708;1805072561;3,25
709;1812732275;3,25
710;1820409815;3,25
711;1828113237;3,25
712;1835834223;3,25
713;1843581559;3,25
714;1851346133;3,25
715;1859127709;3,25
716;1866936709;3,25
717;1874766199;3,25
718;1882619517;3,25
719;1890492827;3,25
720;1898387849;3,25
721;1906307011;3,25
722;1914245901;3,25
723;1922214565;3,25
724;1930193141;3,25
725;1938205849;3,25
726;1946228687;3,25
727;1954280057;3,25
728;1962358111;3,25
729;1970451783;3,25
730;1978568151;3,25
731;1986707541;3,25
732;1994869137;3,25
733;2003056699;3,25
734;2011255973;3,25
735;2019494667;3,25
736;2027743453;3,25
737;2036012031;3,25
