Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 231    2.2825E-005    2.0426E-005   112    36
 232    2.0543E-005    4.4949E-005   118    36
 233    1.8488E-005    1.1070E-005   106    38
 234    1.6640E-005    1.3192E-005   115    40
 235    1.4976E-005    3.0780E-005   114    40
 236    1.3478E-005    7.7708E-006   115    40
 237    1.2130E-005    2.1984E-006   115    34
 238    1.0917E-005    1.2943E-006   111    35
 239    9.8255E-006    1.5739E-005   115    40
 240    8.8430E-006    9.4494E-006   118    37
 241    7.9587E-006    4.0102E-007   106    38
 242    7.1628E-006    2.1791E-006   112    41
 243    6.4465E-006    6.8693E-006   119    41
 244    5.8019E-006    2.5857E-007   109    41
 245    5.2217E-006    1.0317E-006   114    33
 246    4.6995E-006    4.6637E-006   115    40
 247    4.2296E-006    1.7748E-006   110    36
 248    3.8066E-006    5.5733E-006   112    35
 249    3.4259E-006    2.2227E-006   115    34
 250    3.0834E-006    5.5338E-007   107    35
 251    2.7750E-006    6.0292E-006   115    42
 252    2.4975E-006    1.1690E-007   113    34
 253    2.2478E-006    4.4985E-006   114    45
 254    2.0230E-006    2.9199E-006   117    37
 255    1.8207E-006    6.7897E-007   112    34
 256    1.6386E-006    1.7780E-006   114    34
 257    1.4748E-006    2.1683E-006   107    40
 258    1.3273E-006    7.4094E-007   114    39
 259    1.1946E-006    4.5281E-006   112    38
 260    1.0751E-006    9.3482E-008   115    33
 261    9.6759E-007    3.7136E-006   107    40
 262    8.7083E-007    7.7434E-007   108    32
 263    7.8375E-007    1.8713E-006   115    34
 264    7.0537E-007    2.8592E-007   108    37
 265    6.3484E-007    2.7086E-007   121    39
 266    5.7135E-007    6.4421E-007   112    34
 267    5.1422E-007    9.1124E-007   113    34
 268    4.6279E-007    2.3422E-007   112    37
 269    4.1652E-007    3.8547E-008   119    47
 270    3.7486E-007    2.4192E-007   115    41
 271    3.3738E-007    6.1803E-007   120    38
 272    3.0364E-007    1.7655E-007   116    45
 273    2.7328E-007    1.3274E-007   117    29
 274    2.4595E-007    7.8772E-009   107    39
 275    2.2135E-007    1.9118E-007   111    33
 276    1.9922E-007    6.9064E-009   117    33
 277    1.7930E-007    3.6202E-008   108    37
 278    1.6137E-007    1.7306E-007   114    35
 279    1.4523E-007    1.6669E-007   110    39
 280    1.3071E-007    1.3002E-009   116    30
 281    1.1764E-007    3.6950E-007   112    29
 282    1.0587E-007    3.7631E-008   116    37
 283    9.5285E-008    9.2704E-009   111    38
 284    8.5757E-008    1.0117E-007   117    32
 285    7.7181E-008    7.6980E-008   102    32
 286    6.9463E-008    4.7605E-008   123    40
 287    6.2517E-008    1.1921E-008   109    33
 288    5.6265E-008    1.2795E-007   112    35
 289    5.0639E-008    4.0137E-008   110    39
